team_no,team_name,team_captain,team_member,2018-04-02,2018-04-03,2018-04-04,2018-04-05,2018-04-06,2018-04-07,2018-04-08,2018-04-09,2018-04-10,2018-04-11,2018-04-12,2018-04-13,2018-04-14,2018-04-15,2018-04-16,2018-04-17,2018-04-18,2018-04-19,2018-04-20,2018-04-21,2018-04-22,2018-04-23,2018-04-24,2018-04-25,2018-04-26,2018-04-27,2018-04-28,2018-04-29
1,TBD,FALSE,1-1,11980,10437,17616,24586,16136,13700,39812,9195,12855,11309,23606,11848,6120,6254,8754,6469,8849,9911,7709,534,13465,7341,11230,7878,11029,8790,9006,21942
1,TBD,FALSE,1-2,22935,13399,25098,29581,26121,12805,16073,15124,16011,6198,10026,10909,14468,4828,11207,7133,14977,13746,12267,9364,1061,6075,11188,11472,10150,13023,6769,10165
1,TBD,TRUE,1-3,16272,17231,20595,17047,15216,42590,10969,20687,19170,12703,17192,12865,10960,9105,16019,12646,10042,13353,16072,41673,13425,11262,7801,6666,5276,11353,5344,6282
1,TBD,FALSE,1-4,10233,16120,12897,24680,13060,20489,10230,25565,10029,12696,13938,9475,5297,8573,9857,15341,9482,11649,5804,11080,6245,7611,8401,5596,6491,7637,7610,9130
1,TBD,FALSE,1-5,14126,14110,10111,20440,21416,16989,25371,21539,23045,20043,20328,12058,12004,3301,9789,6671,7893,9589,10459,5091,6329,6784,6543,17984,13588,11077,7856,20897
2,Sole Striders,TRUE,2-1,7434,11482,8679,14780,13221,16870,6780,,,,,,,,,,,,,,,,,,,,,
2,Sole Striders,FALSE,2-2,6545,7232,7629,6322,6290,6269,5003,6128,8031,,,,,,,,,,,,,,,,,,,
2,Sole Striders,FALSE,2-3,2751,10808,5734,13583,13052,10474,7000,16006,9577,4661,8770,5522,11042,13251,12938,8635,6805,7507,3661,9431,10599,14678,10434,7891,14187,16152,27417,30719
2,Sole Striders,FALSE,2-4,14043,8672,6856,16586,7284,5449,5653,13204,21527,11815,11645,18915,7503,18037,6133,9052,8624,6898,5464,4657,9870,6828,13221,9983,8791,8511,27244,6423
2,Sole Striders,FALSE,2-5,7564,9353,9263,7627,12448,6521,5045,9438,10028,11391,9980,10423,8889,4676,5837,8937,7160,5322,6975,5946,5375,8898,7030,10711,8677,,,
